ticker,date,gap_pct,bars,session_open,session_close,first_hour_high,first_hour_low,first_hour_close,first_hour_return,first_hour_close_location,first_hour_max_close_drawdown,first_hour_directional_efficiency,pre_afternoon_high,pre_afternoon_high_minute,post_first_new_high,post_first_new_high_minute,afternoon_new_high,afternoon_new_high_minute,close_above_first_hour_high,close_above_pre_afternoon_high,close_within_2pct_of_hod,pullback_before_afternoon_hod,constructive_pullback_before_afternoon_hod,pre_hod_pullback_depth,reclaim_signal,reclaim_signal_minute,reclaim_signal_price,reclaim_new_hod_after,reclaim_to_close_return,reclaim_mfe,reclaim_mae,runner_loose,runner_primary,runner_strict
RIOT,2024-11-06,0.11019567456230671,390,10.78,12.25,11.12,10.61,10.85,0.006493506493506551,0.47058823529411825,0.038383747178329486,0.02748331370239504,11.6455,167,True,79.0,True,229.0,True,True,True,True,True,0.01936370271778798,True,212.0,11.58,True,0.05785837651122616,0.061312607944732145,-0.0008635578583764403,False,False,False
TSLA,2024-11-06,0.13215876551065864,390,284.67,288.47,289.59,275.62,281.218,-0.01212632170583483,0.4007158196134592,0.04171072664359854,0.0,289.59,8,False,,False,,False,False,True,False,False,,True,210.0,287.488,False,0.0034157947462156724,0.006755064559216484,-0.009498831255565388,False,False,False
COIN,2024-11-11,0.10920070916746694,390,300.305,324.41,319.49,296.0,317.02,0.055660078919764766,0.894848871860365,0.037429829038019724,0.16300574201501014,331.7,195,True,94.0,True,249.0,True,False,False,True,True,0.025233644859813054,True,214.0,327.6201,True,-0.00979823887484299,0.022098460991862412,-0.014102004120015721,True,False,False
IREN,2024-11-11,0.10555050045495908,390,12.15,12.77,12.94,11.85,12.7,0.04526748971193406,0.7798165137614677,0.023841853035143634,0.14328887036265103,12.94,49,True,277.0,True,277.0,False,False,False,True,False,0.07573415765069547,True,254.0,12.45,True,0.025702811244979973,0.049799196787148725,-0.003052208835341297,True,True,False
RKLB,2024-11-13,0.3124147339699863,390,19.24,18.82,21.44,18.65,20.935,0.08809771309771319,0.8189964157706086,0.07760977698718585,0.17043055080740838,22.55,91,True,77.0,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
SMCI,2024-11-19,0.2585886722376973,390,27.11,28.29,28.55,25.61,27.55,0.016230173367761003,0.6598639455782315,0.06436862469222648,0.033777559417797844,29.5,150,True,94.0,False,,False,False,False,False,False,,True,271.0,28.51,False,-0.00771659066994046,0.01192213258505781,-0.027358821466152317,False,False,False
MSTR,2024-11-21,0.1304265242808602,390,535.63,397.07,543.0,451.3901,454.8399,-0.15083191755502867,0.03765750208219835,0.15083191755502867,0.0,543.0,1,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
IREN,2024-11-27,0.11924686192468602,390,10.7,12.4,12.21,10.61,12.2,0.14018691588785037,0.993749999999999,0.044663247977647536,0.2523298455741343,12.59,204,True,109.0,True,345.0,True,False,False,True,True,0.039714058776807004,True,262.0,12.3498,True,0.004064843155354714,0.02835673452201659,-0.0024129945424217203,True,False,False
NBIS,2024-12-02,0.18781264211005008,390,26.12,25.74,27.9,25.12,25.46,-0.025267993874425687,0.12230215827338135,0.07661510464058241,0.0,27.9,4,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
SMCI,2024-12-02,0.15747549019607843,390,37.78,41.98,38.75,35.32,38.75,0.02567496029645322,1.0,0.05704076230809951,0.0760796247784281,44.15,177,True,60.0,False,,True,False,False,False,False,,True,232.0,42.9503,False,-0.02259122753508125,0.004416732828408598,-0.05704965972298215,False,False,False
CRDO,2024-12-03,0.34822175732217575,390,64.445,70.77,70.45,64.0,68.65,0.06524943750484935,0.7209302325581401,0.026274676892486748,0.18488717705200627,72.3,160,True,132.0,False,,True,False,False,False,False,,True,216.0,71.07,False,-0.004221190375685913,-0.00014070634585605646,-0.030533277050794783,True,False,False
MRVL,2024-12-04,0.17120216869982285,390,112.33,118.14,117.7399,109.57,117.68,0.04762752603934839,0.992668208913206,0.021632689397311444,0.2078299446045795,118.76,178,True,161.0,True,215.0,True,False,True,True,True,0.014735601212529481,True,210.0,118.41,True,-0.0022802128198631255,0.012414492019255041,-0.006418376826281436,True,True,False
FUTU,2024-12-09,0.11522757295544617,390,92.865,98.14,104.99,92.76,102.885,0.10789856242933293,0.8278822567457079,0.03384175405147771,0.312642358359283,104.99,39,False,,False,,False,False,False,False,False,,False,,,False,,,,True,False,False
HUT,2024-12-12,0.13413263394529773,390,30.27,27.34,31.0,28.5016,29.7,-0.01883052527254714,0.4796669868715976,0.06783982435114178,0.0,31.0,3,True,235.0,True,235.0,False,False,False,True,False,0.10000000000000009,True,210.0,29.63,True,-0.07728653391832596,0.05501181235234576,-0.08471144110698614,False,False,False
APLD,2025-01-14,0.22730199613650992,390,9.53,8.5399,9.715,8.82,8.868,-0.06946484784889817,0.05363128491620119,0.07866849520009966,0.0,9.715,2,False,,False,,False,False,False,False,False,,True,288.0,8.99,False,-0.05006674082313689,0.008898776418242438,-0.05561735261401557,False,False,False
PLTR,2025-02-04,0.22760926677812285,390,102.8,103.83,106.91,100.51,104.1767,0.013392023346303406,0.5729218749999995,0.024013513222328364,0.05815952786309043,106.91,21,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
SMCI,2025-02-26,0.2081686429512517,390,55.02,51.08,56.19,52.0,55.28,0.004725554343874894,0.7828162291169458,0.050910577971646775,0.013424066252929951,56.19,49,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
HUT,2025-03-03,0.11932203389830519,390,16.51,14.0908,17.45,15.535,15.88,-0.038158691701998815,0.18015665796344688,0.10158273381294969,0.0,17.45,3,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
MSTR,2025-03-03,0.14767255216693398,390,293.15,251.38,295.1,264.25,271.485,-0.07390414463585182,0.2345218800648301,0.09360054579566768,0.0,295.1,3,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
INTC,2025-03-13,0.13636363636363646,390,23.5,23.71,24.53,23.13,24.03,0.022553191489361746,0.6428571428571433,0.02564512820512821,0.10130356665010153,24.53,10,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
USAR,2025-04-04,0.3076923076923077,359,8.5,7.56,10.5,8.33,8.9399,0.05175294117647056,0.28105990783410123,0.20590085795996194,0.042610691903096715,10.5,15,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
USAR,2025-04-14,0.16967509025270755,386,9.72,11.73,12.3073,9.0,11.55,0.18827160493827155,0.771021679315454,0.05555555555555569,0.217184903868977,13.0,156,True,109.0,True,223.0,False,False,False,True,True,0.07769230769230773,True,210.0,12.73,True,-0.07855459544383347,0.05263157894736836,-0.0966221523959152,False,False,False
USAR,2025-04-15,0.21787234042553205,390,14.31,13.6,14.95,12.5,13.93,-0.02655485674353608,0.5836734693877551,0.1415593220338982,0.0,15.0,136,True,136.0,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
CRDO,2025-04-23,0.10048622366288494,389,40.74,40.47,42.47,40.28,41.4003,0.016207658321060414,0.5115525114155258,0.02922067135880635,0.06807848150859357,42.47,30,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
NBIS,2025-05-01,0.1009678838539374,390,25.025,23.92,25.71,24.11,24.48,-0.02177822177822175,0.23125000000000043,0.04305652256471926,0.0,25.71,0,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
NBIS,2025-05-07,0.1002396166134185,390,27.55,27.47,27.87,26.38,27.4992,-0.0018439201451906362,0.751140939597314,0.04008667388949094,0.0,27.87,2,False,,False,,False,False,True,False,False,,True,210.0,27.085,False,0.01421450987631534,0.018275798412405342,-0.01495292597378628,False,False,False
ALAB,2025-05-12,0.12408707865168524,390,80.035,80.32,80.97,77.13,77.385,-0.03311051415005928,0.06640625000000246,0.03856680766359788,0.0,81.0,205,True,214.0,True,216.0,False,False,True,False,False,0.00802469135802475,False,,,False,,,,False,False,False
