ticker,timestamp,open,high,low,close,volume,vwap,transactions,otc
TSLA,2024-08-29 03:52:00 UTC,205.4,214.89,203.61,207.34,60676799,210.433,822981,
TSLA,2021-01-08 03:52:00 UTC,281.6667,294.9633,279.4633,289.1667,223587462,288.7987,1796977,
TSLA,2021-09-23 03:52:00 UTC,252.0133,253.2667,249.3067,250.9333,34629309,251.1252,281466,
TSLA,2024-03-07 03:52:00 UTC,175.09,180.04,172.1103,178.5,99394604,177.7294,1138534,
TSLA,2025-02-18 03:52:00 UTC,356,362.3,350.01,354.41,48903640,354.7597,895762,
TSLA,2022-08-12 03:52:00 UTC,290.3333,301.5667,285.0333,301.3333,77301885,293.6925,669410,
TSLA,2025-03-03 03:52:00 UTC,298,304.42,277.3,281.66,110484982,292.6606,1628152,
TSLA,2021-04-28 03:52:00 UTC,233.3333,236.1667,230.5133,231.5,64720878,233.0602,686906,
TSLA,2025-06-10 03:52:00 UTC,312.76,328.87,308.9,325.1,144661569,319.0701,1909658,
TSLA,2022-07-05 03:52:00 UTC,228.3,233.9933,216.1667,232.9733,82739076,224.6955,775682,
TSLA,2023-03-21 03:52:00 UTC,184.56,198,183.42,197.5,150221104,193.6106,1455245,
TSLA,2024-12-02 03:52:00 UTC,349,360,348,352.71,73567083,355.6133,1116827,
TSLA,2024-04-24 03:52:00 UTC,162.53,167.97,157.51,160.55,175169563,161.9199,1823646,
TSLA,2024-09-09 03:52:00 UTC,214.65,219.87,213.54,217.23,63989810,216.9532,961757,
TSLA,2020-10-15 03:52:00 UTC,150.9833,153.3333,147.34,148.9167,105204066,149.5824,642186,
TSLA,2023-07-07 03:52:00 UTC,274.49,280.78,273.28,274.95,111993031,277.5478,1204086,
TSLA,2020-10-20 03:52:00 UTC,145.3,146.2767,139.6834,141.5333,93677337,141.3479,647413,
TSLA,2022-11-15 03:52:00 UTC,194.53,200.8237,191.427,193.3,89036585,196.696,981895,
TSLA,2023-07-26 03:52:00 UTC,264.78,268.04,261.75,265.28,94140327,264.829,981837,
TSLA,2021-03-08 03:52:00 UTC,194.4,206.7083,184.6667,189,153191553,195.7102,1578550,
TSLA,2025-05-01 03:52:00 UTC,283.15,290.8688,277.2,277.5389,94929020,284.5774,1266984,
TSLA,2023-02-21 03:52:00 UTC,205.95,209.71,195.8,197.35,177365106,202.4864,1811711,
TSLA,2025-02-13 03:52:00 UTC,340.42,358.69,338.77,357.81,84956785,351.7969,1348503,
TSLA,2022-10-03 03:52:00 UTC,256.68,260,241.01,243.7,95378893,245.4483,1538432,
TSLA,2022-10-05 03:52:00 UTC,247.24,248.09,233.27,240.99,84717805,238.4505,1170230,
TSLA,2023-07-25 03:52:00 UTC,271.65,274,263.8,264.5,111474019,268.5913,1253137,
TSLA,2021-12-28 03:52:00 UTC,368.6033,373,359.4733,364.5,58678986,364.4719,604967,
TSLA,2022-05-27 03:52:00 UTC,236.93,255.9667,235.81,255.0833,86578890,249.1144,774443,
TSLA,2023-06-30 03:52:00 UTC,258.32,264.45,257.93,261.8,109343435,262.765,1186957,
TSLA,2023-09-07 03:52:00 UTC,248.49,252.81,243.265,250.34,113301955,248.1816,1180556,
TSLA,2023-10-06 03:52:00 UTC,256,261.65,250.65,260.52,116533587,256.2669,1278513,
TSLA,2020-12-09 03:52:00 UTC,215.3967,219.6379,196,197.0067,211734459,206.9177,1677622,
TSLA,2021-03-11 03:52:00 UTC,229,235.2633,225.7267,232.8333,105973962,230.7516,1021080,
TSLA,2022-10-14 03:52:00 UTC,223.4,226.26,203.5,204.43,91181516,211.8348,1281579,
TSLA,2021-08-16 03:52:00 UTC,238.7267,238.7267,225.4667,227.2333,65878041,229.1501,619155,
TSLA,2021-10-28 03:52:00 UTC,353.6,362.9333,345.9533,360,78980499,356.6405,661486,
TSLA,2023-09-11 03:52:00 UTC,258.25,274.85,253.93,272.41,171494680,268.6466,2038803,
TSLA,2023-04-25 03:52:00 UTC,160.45,163.47,158.75,161.81,120221808,161.7608,1040297,
TSLA,2023-11-08 03:52:00 UTC,221.67,224.15,217.64,220.89,104681603,220.2771,1068678,
TSLA,2024-11-22 03:52:00 UTC,340.55,361.53,337.51,353.47,85016046,349.9777,1209749,
TSLA,2025-02-28 03:52:00 UTC,280.33,294.45,273.6,294.4,106698854,286.5573,1571356,
TSLA,2025-06-03 03:52:00 UTC,341.82,355.4,340.37,344.45,95324740,348.5782,1313377,
TSLA,2023-03-27 03:52:00 UTC,190.23,197.39,189.6,192.96,119522512,193.7255,1115442,
TSLA,2024-04-10 03:52:00 UTC,177.5,178.5,170.01,170.65,82528722,171.9358,953700,
TSLA,2024-09-19 03:52:00 UTC,233.05,244.5,231.14,244.1215,96793736,240.4418,1282654,
TSLA,2021-04-26 03:52:00 UTC,244.6667,249.7667,238.39,239.9533,91241601,245.5596,875806,
TSLA,2023-06-28 03:52:00 UTC,248.01,259.88,246.61,257.55,157626850,255.817,1543121,
TSLA,2024-08-23 03:52:00 UTC,213.39,221.48,212.36,220.8923,77271046,218.3162,931912,
TSLA,2021-01-14 03:52:00 UTC,280,287.6667,279.22,282.65,92168580,283.8602,692086,
TSLA,2021-07-07 03:52:00 UTC,220,221.9,212.7733,214.6333,55394340,215.9218,429193,
TSLA,2022-08-30 03:52:00 UTC,289.38,292.5,272.65,278.12,48677710,279.4923,824211,
TSLA,2020-10-07 03:52:00 UTC,139.65,143.3,137.9483,142.45,127981566,141.0721,696208,
TSLA,2020-11-02 03:52:00 UTC,130.2667,135.66,129,133.6667,84897861,132.8548,509183,
TSLA,2021-02-25 03:52:00 UTC,247.1667,247.34,218.3333,222.6667,115053615,234.0021,1288552,
TSLA,2021-08-06 03:52:00 UTC,238.3367,239,232.2833,232.3333,45452184,234.612,406183,
TSLA,2021-08-12 03:52:00 UTC,235.3333,242.0033,233.1333,240.1133,51852228,238.0556,395338,
TSLA,2021-10-08 03:52:00 UTC,264.5033,266.1133,260.3033,261.7,49311516,262.3826,397745,
TSLA,2023-09-19 03:52:00 UTC,266.25,267.85,261.2,266.2999,101431938,264.9185,1068208,
TSLA,2024-11-13 03:52:00 UTC,331.4,344.5999,322.5,329.69,121421966,331.7744,1769777,
TSLA,2023-09-21 03:52:00 UTC,262.3,263.01,253.5,253.52,117520909,257.5276,1301699,
TSLA,2023-11-09 03:52:00 UTC,220.6,221.45,206.68,208.27,139147585,211.8622,1957345,
TSLA,2024-10-24 03:52:00 UTC,239.15,262.1199,235.36,257.4262,194506798,252.7384,2592037,
TSLA,2021-06-30 03:52:00 UTC,227,230.9367,224.6667,226.4667,54627729,228.4048,420269,
TSLA,2022-06-08 03:52:00 UTC,237.6,249.9633,237.6,242.7667,74394705,244.9738,678167,
TSLA,2023-05-18 03:52:00 UTC,174.15,179,172.45,178.35,107242160,174.7704,1015891,
TSLA,2023-08-01 03:52:00 UTC,267.38,268.5,258.46,258.73,82065525,262.3821,986539,
TSLA,2020-09-18 03:52:00 UTC,142.6667,150.3333,142.1533,149.8333,251332704,147.2946,1243561,
TSLA,2022-03-24 03:52:00 UTC,334.34,341.4967,329.6,336.5067,66535218,336.2293,676970,
TSLA,2021-08-20 03:52:00 UTC,224.6667,230.71,223.6667,226.7667,42550440,226.7115,331478,
TSLA,2022-06-07 03:52:00 UTC,236.7667,239.9967,230.0933,238.3333,71418993,236.6781,634574,
TSLA,2022-05-26 03:52:00 UTC,221.76,239.5566,217.8867,237.6667,102894657,231.7377,905240,
TSLA,2024-08-12 03:52:00 UTC,200.5,202.56,194.67,197.7,60638720,197.2018,827955,
TSLA,2025-02-05 03:52:00 UTC,388.48,390.1,375.53,376.16,54555731,381.5416,991092,
TSLA,2020-08-10 04:00:00 UTC,96.9987,97.2653,92.3893,94.2,110718915,94.6378,294960,
TSLA,2022-12-20 03:52:00 UTC,148,151.57,137.3753,139.07,157316090,142.759,1662756,
TSLA,2025-01-23 03:52:00 UTC,413,420.73,408.95,411.8559,47911781,412.9819,856125,
TSLA,2020-10-12 03:52:00 UTC,145.49,149.58,145.0267,147.3967,114387309,147.744,679897,
TSLA,2021-12-02 03:52:00 UTC,369.79,371.9967,352.2167,357.9967,71267328,361.5044,721506,
TSLA,2024-04-22 03:52:00 UTC,144.4,146.683,138.8025,141.45,104429769,141.6937,1402334,
TSLA,2022-04-04 03:52:00 UTC,364.3333,383.3033,357.51,380,79426113,373.8602,853116,
TSLA,2024-06-24 03:52:00 UTC,182.8,188.8,182.13,182.18,59750031,185.0678,831592,
TSLA,2020-08-25 03:52:00 UTC,135.4667,136.6,130.9333,136.5333,156995370,133.2321,423825,
TSLA,2021-04-20 03:52:00 UTC,240.07,245.75,233.9,237.4633,105880341,240.7252,816702,
TSLA,2021-11-12 03:52:00 UTC,355.11,357.3333,339.7333,343.1667,75127938,344.3373,769901,
TSLA,2021-06-25 03:52:00 UTC,227.3333,231.27,222.6767,223,94225962,226.3366,602689,
TSLA,2021-09-01 03:52:00 UTC,245.5667,247.33,243.3333,243.7333,37251414,245.5764,318118,
TSLA,2024-05-28 03:52:00 UTC,177.28,179.24,173.16,176.29,57334994,175.7005,837797,
TSLA,2022-08-10 03:52:00 UTC,286.2033,297.9867,283.3333,293.3333,92810094,290.9806,882147,
TSLA,2023-02-17 03:52:00 UTC,199,209.77,197.5,209,211688918,202.9138,1835586,
