ticker,timestamp,open,high,low,close,volume,vwap,transactions,otc,rsi,atr
TSLA,2023-09-11 03:52:00 UTC,258.25,274.85,253.93,272.41,171494680,268.6466,2038803,,54.344401440635096,21.11294952107478
TSLA,2023-06-30 03:52:00 UTC,258.32,264.45,257.93,261.8,109343435,262.765,1186957,,51.496117913604444,20.63916741242658
TSLA,2025-04-14 03:52:00 UTC,258.33,261.8,245.93,249.1,96831250,252.7671,1321584,,48.23712902021168,20.298512597253254
TSLA,2023-10-05 03:52:00 UTC,258.9,263.6,256.25,259.55,117600088,259.6642,1196489,,50.98582879063152,19.884333126020877
TSLA,2023-06-20 03:52:00 UTC,259.0,278.44,256.3,278.1,163145972,267.8703,1710933,,55.502862491550644,20.045452188447953
TSLA,2023-09-01 03:52:00 UTC,259.1,260.65,242.01,245.25,128908063,248.3663,1528583,,47.20614427957932,21.19149131784453
TSLA,2024-10-30 03:52:00 UTC,260.0,263.35,255.8201,256.0817,51859599,260.4402,826448,,49.867228415361346,20.970670509427066
TSLA,2023-07-28 03:52:00 UTC,260.02,267.391,256.5,266.75,107206364,264.2063,1120299,,52.41148361266026,20.28057261589656
TSLA,2021-09-28 03:52:00 UTC,260.48,265.2133,255.3934,258.0,72793137,260.2813,532236,,50.162850116899534,19.643146000475376
TSLA,2024-07-15 03:52:00 UTC,260.51,265.6,251.73,254.78,144335916,259.3449,1684147,,49.324192476150444,19.23077842901285
TSLA,2024-09-26 03:52:00 UTC,260.54,262.6796,251.53,253.9955,63996664,256.0553,847520,,49.10877379929882,18.653551398369075
TSLA,2021-02-19 03:52:00 UTC,260.9267,267.5567,259.1233,260.8333,55335390,261.9419,611303,,51.11290314433778,18.289812012771282
TSLA,2021-10-05 03:52:00 UTC,261.1233,265.77,258.0667,260.0,53709690,261.79,396316,,50.85009171760223,17.533632583287616
TSLA,2024-07-11 03:52:00 UTC,261.5,271.0,235.36,236.75,215530186,253.1032,2467949,,44.04523635733153,18.826944541624215
TSLA,2021-09-29 03:52:00 UTC,261.6667,264.5,256.8933,259.9667,61209336,260.8055,413989,,51.08462241893517,19.464305645793914
TSLA,2021-09-30 03:52:00 UTC,261.6667,263.0435,258.0,258.3767,51547242,260.801,359817,,50.61498986821896,18.434248099665776
TSLA,2021-10-04 03:52:00 UTC,261.6833,268.99,257.7607,260.5,88829601,263.5993,636854,,51.25939331161156,17.91960894968965
TSLA,2025-03-07 03:52:00 UTC,261.8,266.2499,250.73,262.3801,99567208,259.8505,1460631,,51.85840793780941,17.748201167568965
TSLA,2021-10-11 03:52:00 UTC,261.92,267.08,261.0,264.2,41447208,264.9921,327539,,52.46736911720864,16.914758227028322
TSLA,2023-08-04 03:52:00 UTC,261.98,264.77,253.1,253.7799,98132799,258.2681,1051555,,48.67116183516064,16.54013263938344
TSLA,2023-06-14 03:52:00 UTC,262.0,264.88,250.5,254.76,166534110,257.2032,1699344,,49.04461308689538,16.38583745085605
TSLA,2024-09-30 03:52:00 UTC,262.0,264.86,255.77,261.98,78118057,260.0598,1079998,,51.82524493327412,15.936849061509193
TSLA,2024-10-29 03:52:00 UTC,262.0,264.98,255.51,259.8,77148984,259.5631,1098848,,50.92167852061337,15.474931271401395
TSLA,2023-06-23 03:52:00 UTC,262.1,264.27,252.55,253.18,170604210,257.7639,1711863,,48.174887589637656,15.206721894872722
TSLA,2023-09-21 03:52:00 UTC,262.3,263.01,253.5,253.52,117520909,257.5276,1301699,,48.32904874693154,14.822670330953239
TSLA,2024-10-01 03:52:00 UTC,262.44,263.98,248.53,256.3294,84956123,255.2018,1157467,,49.661508949503336,14.867479593028008
TSLA,2021-10-07 03:52:00 UTC,262.75,268.3333,260.2647,263.3333,52182444,263.9992,408845,,52.92097380521044,14.662938193526006
TSLA,2023-12-28 03:52:00 UTC,263.02,265.13,252.3,254.85,111861929,258.5732,1158544,,48.79933801489491,14.532014036845576
TSLA,2025-04-25 03:52:00 UTC,263.1,286.85,259.63,285.0925,158966808,277.6717,2065573,,60.58472596221497,15.779727319928037
TSLA,2021-02-17 03:52:00 UTC,263.3333,266.6133,254.0033,264.55,76972650,260.3311,918629,,51.85364721383294,16.87326108279032
TSLA,2022-07-27 03:52:00 UTC,263.3333,275.9256,258.86,273.58,83768583,270.1358,664576,,54.9285104675594,16.886999576876725
TSLA,2022-02-28 03:52:00 UTC,263.49,292.2867,262.33,290.8867,94055244,285.0784,867999,,60.177782196889034,17.820549607099817
TSLA,2021-02-18 03:52:00 UTC,263.57,264.8967,258.6667,261.0333,52825464,262.1537,555706,,49.47397724711651,18.84908177802126
TSLA,2021-10-12 03:52:00 UTC,263.68,270.7733,263.3203,268.5,62072727,268.9503,495328,,51.783982311280155,18.198433079591172
TSLA,2023-10-11 03:52:00 UTC,263.77,268.6,260.9,262.78,101748352,264.0892,1076101,,49.901781824044896,17.44854500247752
TSLA,2023-10-12 03:52:00 UTC,263.89,265.41,256.6307,257.1294,110285803,261.752,1176783,,48.04400780733655,16.82931321658627
TSLA,2025-04-01 03:52:00 UTC,264.0,277.45,259.16,268.08,140039463,269.9313,1964935,,51.78980094516784,17.078690843972968
TSLA,2024-07-10 03:52:00 UTC,264.48,267.59,257.86,261.62,126028239,263.4178,1420241,,49.52159713565317,16.588784355117753
TSLA,2021-10-08 03:52:00 UTC,264.5033,266.1133,260.3033,261.7,49311516,262.3826,397745,,49.551063869357655,15.818871186895056
TSLA,2023-07-26 03:52:00 UTC,264.78,268.04,261.75,265.28,94140327,264.829,981837,,50.93147087830003,15.141808959259697
TSLA,2022-03-14 03:52:00 UTC,265.1167,267.69,252.0133,259.8333,69323724,257.9809,776042,,48.74607601986491,15.18001546216972
TSLA,2023-07-21 03:52:00 UTC,265.49,268.91,255.8,258.7,146492577,262.0835,1641587,,48.281856099722106,15.032157214871885
TSLA,2025-04-04 03:52:00 UTC,265.51,269.0,235.0,235.25,171622595,245.1175,2734317,,39.82959919503236,16.387003128095323
TSLA,2025-04-02 03:52:00 UTC,266.0,293.0,251.27,260.12,207831692,273.4805,2716235,,49.85562033839629,19.341502904659944
TSLA,2023-07-31 03:52:00 UTC,266.02,269.08,263.78,267.94,82757791,266.6209,998100,,52.53383572534671,18.59996698289852
TSLA,2022-02-25 03:52:00 UTC,266.0633,275.5,260.8002,270.3667,73955478,267.3198,745282,,53.366208722379156,18.321383626977195
TSLA,2023-09-19 03:52:00 UTC,266.25,267.85,261.2,266.2999,101431938,264.9185,1068208,,51.72905376563629,17.66747765362168
TSLA,2023-09-20 03:52:00 UTC,266.78,273.93,262.0,263.0599,120821770,268.3415,1269741,,50.402418042382045,17.257657821220132
TSLA,2022-07-26 03:52:00 UTC,267.0967,268.0,256.2633,262.3333,65307678,260.6898,546127,,50.09216075882439,16.863303691132977
TSLA,2023-08-01 03:52:00 UTC,267.38,268.5,258.46,258.73,82065525,262.3821,986539,,48.497815046728604,16.375924856052052
TSLA,2022-03-08 03:52:00 UTC,268.3333,283.33,260.7233,275.5833,77995611,273.7814,730432,,55.613727845039094,16.963358794905474
TSLA,2022-03-16 03:52:00 UTC,268.6667,282.6642,267.2967,279.6667,80547030,275.7455,745181,,57.1582489007674,16.849368880983654
TSLA,2023-07-27 03:52:00 UTC,268.7,269.98,255.13,256.7,101684002,263.023,1204976,,47.208223760239356,17.398463960913393
TSLA,2023-09-13 03:52:00 UTC,268.79,274.98,266.1,271.76,110065889,271.5845,1098001,,52.987455127401816,17.461430820848154
TSLA,2025-03-27 03:52:00 UTC,268.9,291.85,265.0,272.802,154980483,280.0956,1941437,,53.36783438118326,18.132042905073288
TSLA,2022-07-22 03:52:00 UTC,269.2767,280.7867,268.6733,271.6667,101336916,275.2759,901373,,52.865946538459795,17.702139840425197
TSLA,2022-05-10 03:52:00 UTC,269.3333,275.12,258.0833,265.9167,82766862,266.7947,885451,,50.28653466394026,17.654608423251968
TSLA,2025-04-03 03:52:00 UTC,269.4,276.3,261.51,268.11,129976110,268.1724,1807704,,51.263356094906314,17.44999353587683
TSLA,2025-04-10 03:52:00 UTC,269.46,271.28,239.33,247.72,172492819,251.3174,2332505,,42.83660678208434,18.485708283314196
TSLA,2021-02-12 03:52:00 UTC,269.8767,272.8333,261.7769,272.5167,68351097,266.7937,816885,,52.96298488129576,18.959107691648896
TSLA,2024-10-28 03:52:00 UTC,270.0,273.536,260.02,260.1,100811635,268.5051,1409674,,48.344687645283095,18.570314285102548
TSLA,2021-10-13 03:52:00 UTC,270.0067,271.8033,267.902,271.1667,41369820,269.8854,343104,,52.334141783655674,18.07981326473808
TSLA,2021-02-01 03:52:00 UTC,270.6967,280.6667,265.1867,280.0,74774415,274.376,812090,,55.30157037615156,17.894112317256788
TSLA,2023-07-11 03:52:00 UTC,270.81,271.88,266.37,269.8303,90613469,268.5107,1021775,,51.3388888549051,17.58953286602416
TSLA,2022-05-11 03:52:00 UTC,271.0133,272.6667,242.4,244.7,94743396,255.4691,1135203,,43.116954609573654,18.49504480416529
TSLA,2023-07-12 03:52:00 UTC,271.04,277.68,270.5,272.91,93198962,273.5327,1029772,,52.34351160037851,19.52968446101063
TSLA,2022-09-01 03:52:00 UTC,271.57,280.34,266.15,279.7,53028214,271.2531,833476,,54.26635542964729,19.148278428081298
TSLA,2023-07-25 03:52:00 UTC,271.65,274.0,263.8,264.5,111474019,268.5913,1253137,,49.4557749622906,18.916258540361202
TSLA,2023-09-12 03:52:00 UTC,271.88,278.39,266.6,267.7,134452500,271.6454,1440371,,50.45161010581258,18.557240073192542
TSLA,2025-03-28 03:52:00 UTC,271.9,279.31,260.0,260.02,117727237,266.2959,1577828,,48.00696359812455,18.611008639393077
TSLA,2022-07-25 03:52:00 UTC,272.3167,276.5433,266.67,266.8333,62007942,270.3612,554149,,50.307417735997234,18.461886593722145
TSLA,2023-09-14 03:52:00 UTC,272.32,277.0,270.42,276.89,105917722,274.4705,1156807,,53.57272643514886,17.869373265599133
TSLA,2021-10-14 03:52:00 UTC,272.3867,273.4167,269.6843,273.2333,33847821,272.4347,299797,,52.22884298612252,17.107682318056337
TSLA,2021-02-11 03:52:00 UTC,272.82,276.6266,267.2417,270.3333,62725332,271.2629,628630,,51.13333555111662,16.55605500962374
TSLA,2021-01-28 03:52:00 UTC,272.8333,282.6667,264.6667,276.4833,76954605,277.0868,929256,,53.36720688078193,16.65919393750776
TSLA,2023-06-21 03:52:00 UTC,273.0,279.54,256.0,256.9,207554038,265.5554,2158023,,46.13499154833928,17.150680084828636
TSLA,2021-10-15 03:52:00 UTC,273.3333,283.2633,272.0917,283.0,55223058,277.6654,450786,,54.9060916332517,17.808724364483737
TSLA,2022-07-28 03:52:00 UTC,273.3333,284.5633,271.6667,284.3333,83185785,279.106,695933,,55.30646400920887,17.45785833844919
TSLA,2023-07-10 03:52:00 UTC,273.5,277.52,265.1,268.4,117909210,269.9835,1360051,,49.63498112268574,17.584675599988532
TSLA,2021-02-16 03:52:00 UTC,273.6667,275.0,263.7333,263.8067,57715827,267.9356,693310,,48.10353580549831,17.13339162856078
TSLA,2022-09-30 03:52:00 UTC,273.8,275.57,262.47,266.05,64643783,269.1856,925567,,48.93225527200369,16.845292226520723
TSLA,2021-01-12 03:52:00 UTC,274.0,289.3333,274.0,284.0,135595617,284.5235,1003556,,55.10938980043315,17.305149924626384
TSLA,2023-07-13 03:52:00 UTC,274.07,279.45,270.6,277.46,109855985,274.7665,1142389,,52.61234673071454,17.02621064429593
TSLA,2023-07-07 03:52:00 UTC,274.49,280.78,273.28,274.95,111993031,277.5478,1204086,,51.645159158158364,16.34576702684622
