Name,Symbol,InstrumentType,Side,Action,PositionIntent,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
MSTR260626P00075000,MSTR260626P00075000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,15.0,15.0,@0.36,0.36,DAY,2026-06-25T16:39:08.728Z,2026-06-25T16:39:08.809Z
SHNY,SHNY,EQUITY,BUY,BUY,,FILLED,777.0,777.0,@8.07,8.07,DAY,2026-06-25T15:46:20.040Z,2026-06-25T15:46:36.197Z
WTIU,WTIU,EQUITY,BUY,BUY,,FILLED,400.0,400.0,@13.55,13.53,DAY,2026-06-25T15:13:19.543Z,2026-06-25T15:13:32.338Z
PLTR260626P00105000,PLTR260626P00105000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,3.0,3.0,@1.03,1.03,DAY,2026-06-25T15:09:22.646Z,2026-06-25T15:09:37.811Z
BIDU260710P00100000,BIDU260710P00100000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,2.0,2.0,@2.05,2.05,DAY,2026-06-25T14:58:01.070Z,2026-06-25T14:58:01.107Z
MSFT,MSFT,EQUITY,BUY,BUY,,FILLED,17.0,17.0,@357.2,357.2,DAY,2026-06-25T14:43:29.102Z,2026-06-25T14:43:29.894Z
BE,BE,EQUITY,BUY,BUY,,CANCELLED,0.0,20.0,,,DAY,2026-06-25T14:42:25.110Z,
BE,BE,EQUITY,SHORT,SHORT,,FILLED,20.0,20.0,@321.16,321.16,DAY,2026-06-25T14:41:59.153Z,2026-06-25T14:41:59.192Z
GTLB,GTLB,EQUITY,BUY,BUY,,FILLED,200.0,200.0,@28.69,28.69,DAY,2026-06-25T14:39:07.556Z,2026-06-25T14:39:17.426Z
MU260626P01085000,MU260626P01085000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,1.0,1.0,@13.0,13.0,DAY,2026-06-25T14:16:13.607Z,2026-06-25T14:16:32.246Z
MU260626P01085000,MU260626P01085000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,1.0,1.0,@7.75,7.75,DAY,2026-06-25T14:11:01.250Z,2026-06-25T14:11:01.376Z
INTC,INTC,EQUITY,SELL,SELL,,FILLED,50.0,50.0,@126.37,126.59,DAY,2026-06-25T13:59:17.840Z,2026-06-25T13:59:17.913Z
SMH260626P00625000,SMH260626P00625000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,1.0,1.0,@16.3,16.3,DAY,2026-06-25T13:57:10.137Z,2026-06-25T13:57:10.224Z
BA260626C00225000,BA260626C00225000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,1.0,1.0,@0.59,0.59,DAY,2026-06-25T13:53:27.358Z,2026-06-25T13:53:32.232Z
GOOG260626P00330000,GOOG260626P00330000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,3.0,3.0,@1.01,1.01,DAY,2026-06-25T13:53:07.474Z,2026-06-25T13:53:21.685Z
SMH260626P00600000,SMH260626P00600000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,1.0,1.0,@4.65,4.66,DAY,2026-06-25T13:53:02.812Z,2026-06-25T13:53:02.994Z
MU260626P01085000,MU260626P01085000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,1.0,1.0,@11.45,11.45,DAY,2026-06-25T13:52:55.312Z,2026-06-25T13:52:55.357Z
SMH260626P00600000,SMH260626P00600000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,1.0,1.0,@3.65,3.65,DAY,2026-06-25T13:49:19.187Z,2026-06-25T13:49:19.292Z
INTC,INTC,EQUITY,SELL,SELL,,FILLED,50.0,50.0,@132.79,132.79,DAY,2026-06-25T13:48:56.791Z,2026-06-25T13:49:04.429Z
PLTR260626P00106000,PLTR260626P00106000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,3.0,3.0,@0.92,0.93,DAY,2026-06-25T13:44:14.607Z,2026-06-25T13:44:14.657Z
IREN260702P00046000,IREN260702P00046000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,8.0,8.0,@1.75,1.75,DAY,2026-06-25T13:43:33.419Z,2026-06-25T13:43:33.500Z
GOOG260626P00330000,GOOG260626P00330000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,3.0,3.0,@1.2,1.2,DAY,2026-06-25T13:41:42.283Z,2026-06-25T13:42:00.196Z
SMH260626P00625000,SMH260626P00625000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,1.0,1.0,@4.15,4.15,DAY,2026-06-25T13:40:29.390Z,2026-06-25T13:40:29.560Z
IBIT260706P00030000,IBIT260706P00030000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,25.0,25.0,@0.23,0.22,DAY,2026-06-25T13:39:55.765Z,2026-06-25T13:47:51.693Z
INTC260717C00170000,INTC260717C00170000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,3.0,3.0,@3.45,3.45,DAY,2026-06-25T13:39:01.640Z,2026-06-25T13:39:02.222Z
MU260626C01325000,MU260626C01325000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,1.0,1.0,@10.35,10.76,DAY,2026-06-25T13:38:16.866Z,2026-06-25T13:38:17.009Z
BIDU260710P00100000,BIDU260710P00100000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,2.0,2.0,@1.98,1.98,DAY,2026-06-25T13:35:11.204Z,2026-06-25T13:39:14.045Z
PLTR260626P00106000,PLTR260626P00106000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,3.0,3.0,@0.78,0.78,DAY,2026-06-25T13:34:49.752Z,2026-06-25T13:34:49.792Z
INTC260717C00170000,INTC260717C00170000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,3.0,3.0,@3.85,3.85,DAY,2026-06-25T13:34:00.206Z,2026-06-25T13:34:01.151Z
MU260626C01325000,MU260626C01325000,OPTION,BUY,BTO,BUY_TO_OPEN,FILLED,1.0,1.0,@12.6,11.35,DAY,2026-06-25T13:33:25.580Z,2026-06-25T13:33:25.676Z
GLD260706P00340000,GLD260706P00340000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,6.0,6.0,@0.74,0.74,DAY,2026-06-25T13:30:17.666Z,2026-06-25T13:30:23.373Z
IBIT260706P00030000,IBIT260706P00030000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,50.0,50.0,@0.14,0.14,DAY,2026-06-25T13:30:13.283Z,2026-06-25T13:30:33.146Z
IREN260702P00046000,IREN260702P00046000,OPTION,SELL,STC,SELL_TO_CLOSE,FILLED,8.0,8.0,@1.2,1.2,DAY,2026-06-25T13:30:07.107Z,2026-06-25T13:30:07.429Z
